pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1.00,1.00,hawaiian_m,1.00,3/1/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2.00,2.00,classic_dlx_m,1.00,2/1/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3.00,3.00,five_cheese_l,1.00,3/1/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
4.00,4.00,classic_dlx_m,1.00,3/1/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
5.00,5.00,margherita_s,2.00,3/1/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
6.00,6.00,bbq_chicken_m,1.00,3/1/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
7.00,7.00,pepperoni_l,1.00,3/1/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
8.00,8.00,veggie_m,1.00,3/1/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
9.00,9.00,meat_lovers_l,1.00,3/1/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
10.00,10.00,seafood_m,1.00,3/1/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
11.00,11.00,hawaiian_m,1.00,3/2/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
12.00,12.00,classic_dlx_m,1.00,3/2/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
13.00,13.00,five_cheese_l,1.00,3/2/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
14.00,14.00,classic_dlx_m,1.00,3/2/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
15.00,15.00,margherita_s,2.00,3/2/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
16.00,16.00,bbq_chicken_m,1.00,3/2/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
17.00,17.00,pepperoni_l,1.00,3/2/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
18.00,18.00,veggie_m,1.00,3/2/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
19.00,19.00,meat_lovers_l,1.00,3/2/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
20.00,20.00,seafood_m,1.00,3/2/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
21.00,21.00,hawaiian_m,1.00,3/3/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
22.00,22.00,classic_dlx_m,1.00,3/3/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
23.00,23.00,five_cheese_l,1.00,3/3/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
24.00,24.00,classic_dlx_m,1.00,3/3/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
25.00,25.00,margherita_s,2.00,3/3/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
26.00,26.00,bbq_chicken_m,1.00,3/3/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
27.00,27.00,pepperoni_l,1.00,3/3/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
28.00,28.00,veggie_m,1.00,3/3/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
29.00,29.00,meat_lovers_l,1.00,3/3/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
30.00,30.00,seafood_m,1.00,3/3/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
31.00,31.00,hawaiian_m,1.00,3/4/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
32.00,32.00,classic_dlx_m,1.00,3/4/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
33.00,33.00,five_cheese_l,1.00,3/4/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
34.00,34.00,classic_dlx_m,1.00,3/4/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
35.00,35.00,margherita_s,2.00,3/4/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
36.00,36.00,bbq_chicken_m,1.00,3/4/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
37.00,37.00,pepperoni_l,1.00,3/4/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
38.00,38.00,veggie_m,1.00,3/4/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
39.00,39.00,meat_lovers_l,1.00,3/4/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
40.00,40.00,seafood_m,1.00,3/4/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
41.00,41.00,hawaiian_m,1.00,3/5/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
42.00,42.00,classic_dlx_m,1.00,3/5/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
43.00,43.00,five_cheese_l,1.00,3/5/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
44.00,44.00,classic_dlx_m,1.00,3/5/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
45.00,45.00,margherita_s,2.00,3/5/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
46.00,46.00,bbq_chicken_m,1.00,3/5/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
47.00,47.00,pepperoni_l,1.00,3/5/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
48.00,48.00,veggie_m,1.00,3/5/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
49.00,49.00,meat_lovers_l,1.00,3/5/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
50.00,50.00,seafood_m,1.00,3/5/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
51.00,51.00,hawaiian_m,1.00,3/6/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
52.00,52.00,classic_dlx_m,1.00,3/6/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
53.00,53.00,five_cheese_l,1.00,3/6/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
54.00,54.00,classic_dlx_m,1.00,3/6/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
55.00,55.00,margherita_s,2.00,3/6/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
56.00,56.00,bbq_chicken_m,1.00,3/6/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
57.00,57.00,pepperoni_l,1.00,3/6/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
58.00,58.00,veggie_m,1.00,3/6/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
59.00,59.00,meat_lovers_l,1.00,3/6/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
60.00,60.00,seafood_m,1.00,3/6/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
61.00,61.00,hawaiian_m,1.00,3/7/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
62.00,62.00,classic_dlx_m,1.00,3/7/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
63.00,63.00,five_cheese_l,1.00,3/7/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
64.00,64.00,classic_dlx_m,1.00,3/7/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
65.00,65.00,margherita_s,2.00,3/7/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
66.00,66.00,bbq_chicken_m,1.00,3/7/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
67.00,67.00,pepperoni_l,1.00,3/7/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
68.00,68.00,veggie_m,1.00,3/7/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
69.00,69.00,meat_lovers_l,1.00,3/7/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
70.00,70.00,seafood_m,1.00,3/7/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
71.00,71.00,hawaiian_m,1.00,3/8/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
72.00,72.00,classic_dlx_m,1.00,3/8/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
73.00,73.00,five_cheese_l,1.00,3/8/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
74.00,74.00,classic_dlx_m,1.00,3/8/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
75.00,75.00,margherita_s,2.00,3/8/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
76.00,76.00,bbq_chicken_m,1.00,3/8/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
77.00,77.00,pepperoni_l,1.00,3/8/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
78.00,78.00,veggie_m,1.00,3/8/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
79.00,79.00,meat_lovers_l,1.00,3/8/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
80.00,80.00,seafood_m,1.00,3/8/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
81.00,81.00,hawaiian_m,1.00,3/9/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
82.00,82.00,classic_dlx_m,1.00,3/9/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
83.00,83.00,five_cheese_l,1.00,3/9/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
84.00,84.00,classic_dlx_m,1.00,3/9/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
85.00,85.00,margherita_s,2.00,3/9/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
86.00,86.00,bbq_chicken_m,1.00,3/9/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
87.00,87.00,pepperoni_l,1.00,3/9/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
88.00,88.00,veggie_m,1.00,3/9/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
89.00,89.00,meat_lovers_l,1.00,3/9/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
90.00,90.00,seafood_m,1.00,3/9/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
91.00,91.00,hawaiian_m,1.00,3/10/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
92.00,92.00,classic_dlx_m,1.00,3/10/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
93.00,93.00,five_cheese_l,1.00,3/10/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
94.00,94.00,classic_dlx_m,1.00,3/10/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
95.00,95.00,margherita_s,2.00,3/10/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
96.00,96.00,bbq_chicken_m,1.00,3/10/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
97.00,97.00,pepperoni_l,1.00,3/10/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
98.00,98.00,veggie_m,1.00,3/10/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
99.00,99.00,meat_lovers_l,1.00,3/10/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
100.00,100.00,seafood_m,1.00,3/10/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza 